X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.0054012604359,38.8799142862961,24029744,2024/02/26 20:55:00+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,800 - 899 BLOCK OF NEW JERSEY AVENUE SE,399531.54,134674.78,8,8F,1,106,Cluster 27,007203 3,007203,Precinct 131,38.8799065024,-77.0053989764,CAPITOL RIVERFRONT,2024/02/26 19:05:00+00,2024/02/26 19:40:00+00,491231262,
-76.9809483728511,38.903863870547,24027544,2024/02/22 20:49:11+00,EVENING,OTHERS,THEFT/OTHER,1052 - 1103 BLOCK OF BLADENSBURG ROAD NE,401652.72,137333.53,5,5D,5,506,Cluster 23,008802 1,008802,Precinct 77,38.9038560809,-76.980946095,,2024/02/22 17:15:00+00,2024/02/22 17:33:00+00,491231263,
-77.041320417924,38.925350116844,24420855,2024/03/06 12:02:17+00,DAY,OTHERS,THEFT/OTHER,2800 - 2828 BLOCK OF ONTARIO ROAD NW,396417.18,139719.32,1,1C,3,303,Cluster 1,003902 2,003902,Precinct 35,38.9253423251,-77.04131812,,2024/02/29 20:00:00+00,2024/02/29 22:30:00+00,491231266,
-77.021918846948,38.8991374923213,24022935,2024/02/13 23:29:41+00,EVENING,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 7TH STREET NW,398098.85,136808.92,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 129,38.8991297051,-77.0219165566,DOWNTOWN,2024/02/13 22:26:00+00,2024/02/13 23:30:00+00,491231372,
-77.0788837026547,38.923631828273,24001702,2024/01/04 09:03:44+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,3900 - 4099 BLOCK OF DAVIS PLACE NW,393159.79,139530.72,3,3B,2,204,Cluster 14,000702 1,000702,Precinct 11,38.9236240383,-77.0788813931,,2024/01/04 06:45:00+00,2024/01/04 08:00:00+00,491231376,
-77.040877886926,38.9238776823034,24022148,2024/02/12 16:25:56+00,DAY,KNIFE,ASSAULT W/DANGEROUS WEAPON,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,396455.48,139555.85,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,38.9238698908,-77.0408755892,ADAMS MORGAN,2024/02/12 15:30:00+00,2024/02/12 16:15:00+00,491231416,
-77.0106211667441,38.900215204753,24027395,2024/02/22 09:17:00+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1 - 99 BLOCK OF H STREET NW,399078.88,136928.38,6,6E,1,102,Cluster 8,004702 1,004702,Precinct 1,38.9002074169,-77.0106188799,NOMA,2024/02/22 05:01:00+00,,491231417,
-77.0332566388807,38.9096593644672,24027967,2024/02/23 11:03:50+00,MIDNIGHT,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,397115.78,137977.23,2,2F,2,208,Cluster 7,005203 2,005203,Precinct 16,38.9096515756,-77.0332543444,,2024/02/23 06:31:00+00,2024/02/23 07:34:00+00,491231418,
-77.0237294485822,38.9823186241795,24011059,2024/01/23 10:18:20+00,MIDNIGHT,GUN,ROBBERY,7500 - 7699 BLOCK OF EASTERN AVENUE NW,397944.19,146042.8,4,4B,4,401,Cluster 17,010300 2,010300,Precinct 63,38.9823108203,-77.0237271526,,2024/01/23 09:52:00+00,,491231443,
-76.9978931497775,38.8470103374139,24003259,2024/01/07 13:19:27+00,DAY,GUN,ROBBERY,500 - 599 BLOCK OF LEBAUM STREET SE,400183.09,131022.19,8,8C,7,707,Cluster 39,010400 3,010400,Precinct 123,38.8470025598,-76.9978908701,,2024/01/07 11:02:00+00,,491231457,
-77.0441803056854,38.9037495995663,24030602,2024/02/28 04:49:44+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1900 - 1999 BLOCK OF L STREET NW,396168.03,137321.6,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9037418123,-77.0441780082,GOLDEN TRIANGLE,2024/02/27 12:00:00+00,2024/02/27 22:00:00+00,491231497,
-76.9959192775194,38.8446838545643,24000005,2024/01/01 05:17:09+00,MIDNIGHT,OTHERS,ROBBERY,3000 - 3020 BLOCK OF 7TH STREET SE,400354.45,130763.94,8,8C,7,705,Cluster 39,010400 1,010400,Precinct 123,38.8446760774,-76.9959169986,,2024/01/01 04:31:00+00,,491231525,
-76.9937578770246,38.9215924980366,24011975,2024/01/25 00:52:44+00,EVENING,OTHERS,THEFT/OTHER,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,400541.5,139301.4,5,5C,,,Cluster 22,009102 4,009102,Precinct 72,38.9215847053,-76.9937555941,,2024/01/24 23:48:00+00,2024/01/25 00:24:00+00,491231529,
-77.0376627278199,38.9072428892694,24029081,2024/02/25 11:33:06+00,MIDNIGHT,OTHERS,THEFT F/AUTO,BATAAN STREET NW AND N STREET NW,396733.51999492,137709.13001323,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 17,38.9072351011,-77.0376604322,,2024/02/24 15:45:00+00,2024/02/25 07:45:00+00,491231548,
-76.9908890067665,38.8860413422752,24015333,2024/01/31 02:18:02+00,EVENING,OTHERS,BURGLARY,1100 - 1199 BLOCK OF C STREET SE,400790.675294687,135354.95573904,6,6B,1,107,Cluster 26,006700 2,006700,Precinct 88,38.8860335569,-76.990886727,,2024/01/30 22:30:00+00,2024/01/31 01:30:00+00,491231562,
-77.0830634119232,38.9358466392378,24031647,2024/03/01 04:14:47+00,MIDNIGHT,OTHERS,THEFT F/AUTO,4200 - 4349 BLOCK OF MASSACHUSETTS AVENUE NW,392798.58,140886.99,3,3A,2,204,Cluster 14,001002 1,001002,Precinct 10,38.9358388469,-77.0830611003,,2024/02/25 23:30:00+00,2024/02/26 00:30:00+00,491231577,
-77.0259856114118,38.9064488311947,24031729,2024/03/01 13:27:32+00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF 10TH STREET NW,397746.31,137620.63,2,2F,3,307,Cluster 7,004902 2,004902,Precinct 129,38.9064410427,-77.0259833194,,2024/03/01 10:41:00+00,2024/03/01 11:48:00+00,491231578,
-76.9858127465987,38.9205815199601,24013478,2024/01/27 18:57:21+00,DAY,OTHERS,THEFT/OTHER,1326 - 1354 BLOCK OF DOWNING STREET NE,401230.5,139189.25,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,38.9205737271,-76.9858104662,,2024/01/27 18:15:00+00,2024/01/27 18:57:00+00,491231592,
-77.0082633083115,38.8784165635045,24036564,2024/03/10 17:06:45+00,DAY,OTHERS,THEFT F/AUTO,1 - 49 BLOCK OF K STREET SE,399283.19,134508.54,6,8F,1,106,Cluster 27,007202 2,007202,Precinct 131,38.87840878,-77.0082610235,CAPITOL RIVERFRONT,2024/03/09 05:00:00+00,,491231593,
-77.0334209173326,38.9679279478907,24008300,2024/01/17 18:28:11+00,DAY,OTHERS,THEFT/OTHER,6400 - 6430 BLOCK OF 14TH STREET NW,397103.9,144445.56,4,4A,4,402,Cluster 17,001803 1,001803,Precinct 61,38.9679201473,-77.0334186192,,2024/01/17 17:17:00+00,2024/01/17 17:20:00+00,491231676,
-77.0249378999705,38.9003717529357,24008868,2024/01/19 12:22:11+00,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF PALMER ALLEY NW,397837,136946,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.9003639656,-77.0249356086,DOWNTOWN,2024/01/18 19:16:00+00,2024/01/18 22:01:00+00,491231687,
-77.0345748527497,38.9046993450181,24017145,2024/02/03 09:06:32+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF 15TH STREET NW,397001.24,137426.67,2,2C,2,207,Cluster 8,010100 1,010100,Precinct 17,38.9046915572,-77.0345725582,DOWNTOWN,2024/02/03 04:30:00+00,2024/02/03 08:45:00+00,491231697,
-76.9503371669746,38.8984925600002,24020308,2024/02/09 01:52:47+00,EVENING,OTHERS,THEFT/OTHER,600 - 629 BLOCK OF KENILWORTH TERRACE NE,404308.234145951,136738.270780324,7,7D,6,601,Cluster 30,009602 3,009602,Precinct 100,38.8984847701,-76.9503348985,,2024/02/07 18:33:00+00,2024/02/08 17:00:00+00,491231698,
-77.0214011261629,38.9291208483295,24010236,2024/01/21 22:06:45+00,EVENING,OTHERS,BURGLARY,500 - 699 BLOCK OF IRVING STREET NW,398144.54,140137.31,1,1E,4,409,Cluster 2,003200 4,003200,Precinct 38,38.9291130551,-77.0213988342,,2023/12/06 19:14:00+00,2024/01/21 20:43:00+00,491231701,
-77.0265153520649,38.8961399970334,24006712,2024/01/14 02:27:18+00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF E STREET NW,397700.03,136476.28,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.8961322106,-77.0265130605,DOWNTOWN,2024/01/12 18:00:00+00,2024/01/12 22:00:00+00,491231718,
-76.9780921487817,38.8654384647819,24030281,2024/02/27 18:57:16+00,DAY,OTHERS,ROBBERY,1800 - 1932 BLOCK OF MARION BARRY AVENUE SE,401901.49,133068.07,8,8A,6,607,Cluster 34,007605 1,007605,Precinct 114,38.8654306827,-76.9780898742,,2024/02/27 16:15:00+00,2024/02/27 18:11:00+00,491231839,
-77.0219181586363,38.9096529433998,24040348,2024/03/17 04:00:00+00,MIDNIGHT,GUN,HOMICIDE,7TH STREET NW AND P STREET NW,398099.19001219,137976.21999747,2,2G,3,308,Cluster 7,004801 1,004801,Precinct 18,38.9096451541,-77.0219158675,,2024/03/17 07:01:00+00,,491231849,
-77.0219181586363,38.9096529433998,24040348,2024/03/17 04:00:00+00,MIDNIGHT,GUN,HOMICIDE,7TH STREET NW AND P STREET NW,398099.19001219,137976.21999747,2,2G,3,308,Cluster 7,004801 1,004801,Precinct 18,38.9096451541,-77.0219158675,,2024/03/17 07:01:00+00,,491231850,
-76.9986027983835,38.9098593005389,24040521,2024/03/17 18:18:11+00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 4TH STREET NE,400121.38,137998.9,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9098515103,-76.9986005147,,2024/03/17 17:00:00+00,2024/03/17 17:20:00+00,491231851,
-77.0143271515773,38.9748456692839,24036505,2024/03/10 13:17:01+00,DAY,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9748378665,-77.014324859,,2024/03/10 13:10:00+00,2024/03/10 13:15:00+00,491231852,
-77.0519054257246,38.9242076033088,24040543,2024/03/17 19:33:05+00,EVENING,OTHERS,THEFT/OTHER,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,395499.25,139592.96,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,38.9241998122,-77.0519031245,,2024/03/17 18:11:00+00,2024/03/17 19:11:00+00,491231853,
-76.9831442637315,38.9004628325411,24040431,2024/03/17 17:59:11+00,DAY,OTHERS,THEFT/OTHER,800 - 811 BLOCK OF BLADENSBURG ROAD NE,401462.32,136955.95,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,38.9004550436,-76.9831419854,,2024/03/17 13:26:00+00,2024/03/17 14:11:00+00,491231854,
-76.98312485703,38.9020907301834,24040444,2024/03/17 14:48:22+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1500 - 1599 BLOCK OF NEAL STREET NE,401463.97,137136.66,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,38.9020829409,-76.9831225786,,2024/03/17 14:04:00+00,2024/03/17 14:36:00+00,491231855,
-77.0333623732094,38.9205181629726,24040522,2024/03/17 18:25:28+00,DAY,GUN,ROBBERY,1400 - 1499 BLOCK OF BELMONT STREET NW,397107.05,139182.65,1,1B,3,304,Cluster 2,003701 2,003701,Precinct 23,38.9205103719,-77.033360078,,2024/03/17 17:40:00+00,2024/03/17 18:30:00+00,491231856,
-77.0280232195236,38.9611441713717,24040558,2024/03/17 21:34:50+00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,5832 - 5915 BLOCK OF GEORGIA AVENUE NW,397571.44,143692.34,4,4B,4,402,Cluster 17,001901 1,001901,Precinct 58,38.9611363719,-77.0280209235,,2024/03/17 19:20:00+00,2024/03/17 19:50:00+00,491231857,
-77.0427438225799,38.9314621965693,24040486,2024/03/17 17:17:45+00,DAY,OTHERS,ROBBERY,1800 - 1899 BLOCK OF LAMONT STREET NW,396294.07,140397.87,1,1D,3,302,Cluster 2,002702 2,002702,Precinct 40,38.9314544036,-77.0427415238,,2024/03/17 16:05:00+00,2024/03/17 17:18:00+00,491231858,
-76.9647931215646,38.8621131783409,24040462,2024/03/17 17:36:51+00,DAY,OTHERS,MOTOR VEHICLE THEFT,2205 - 2220 BLOCK OF 30TH STREET SE,403055.8,132699.3,7,7B,6,606,Cluster 35,007604 4,007604,Precinct 113,38.8621053965,-76.9647908513,,2024/03/17 14:35:00+00,2024/03/17 16:31:00+00,491231859,
-76.9923966065842,38.8292109334905,24040686,2024/03/17 23:45:45+00,EVENING,OTHERS,BURGLARY,800 - 899 BLOCK OF CHESAPEAKE STREET SE,400660.4,129046.36,8,8E,7,706,Cluster 39,009811 2,009811,Precinct 125,38.8292031593,-76.9923943297,,2024/03/17 23:01:00+00,2024/03/17 23:48:00+00,491231860,
-76.9526654090271,38.9205435180016,24033067,2024/03/04 02:29:26+00,EVENING,OTHERS,THEFT/OTHER,2400 BLOCK OF MARKET STREET NE,404105,139186,5,5C,5,503,Cluster 24,009000 3,009000,Precinct 139,38.9205357239,-76.952663139,,2024/03/03 22:26:00+00,2024/03/04 00:06:00+00,491231861,
-76.9973086704601,38.9013335941615,24038570,2024/03/17 08:41:37+00,MIDNIGHT,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF I STREET NE,400233.65,137052.48,6,6C,1,104,Cluster 25,010602 2,010602,Precinct 83,38.9013258056,-76.9973063877,,2024/03/13 22:30:00+00,2024/03/13 22:35:00+00,491231862,
-76.9329147010927,38.8906155753531,24040758,2024/03/18 03:04:23+00,MIDNIGHT,OTHERS,THEFT/OTHER,24 - 99 BLOCK OF 49TH STREET NE,405820.2,135864.83,7,7F,6,608,Cluster 33,007804 3,007804,Precinct 98,38.8906077866,-76.932912439,,2024/03/18 01:33:00+00,2024/03/18 02:34:00+00,491231863,
-76.9730946472268,38.916563100181,24040417,2024/03/17 14:13:10+00,DAY,OTHERS,THEFT F/AUTO,1900 - 1999 BLOCK OF BLADENSBURG ROAD NE,402333.53,138743.42,5,5C,5,503,Cluster 23,011100 3,011100,Precinct 72,38.9165553076,-76.9730923711,,2024/03/17 01:00:00+00,2024/03/17 11:00:00+00,491231864,
-76.9762479717585,38.8840848624943,24012687,2024/01/26 15:18:48+00,DAY,KNIFE,SEX ABUSE,1900 BLOCK OF D STREET SE,402061,135138,7,7F,1,107,Cluster 26,006804 1,006804,Precinct 80,38.8840770766,-76.9762456966,,2024/01/25 18:00:00+00,2024/01/25 20:00:00+00,491231865,
-77.0427412306421,38.9332950277815,24040642,2024/03/17 23:23:45+00,EVENING,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF MONROE STREET NW,396294.39,140601.33,1,1D,3,302,Cluster 2,002703 2,002703,Precinct 40,38.9332872345,-77.0427389318,,2024/03/16 22:00:00+00,2024/03/17 12:00:00+00,491231866,
-77.040605001338,38.9193571293759,24039994,2024/03/17 12:47:10+00,DAY,OTHERS,THEFT/OTHER,2151 - 2260 BLOCK OF CHAMPLAIN STREET NW,396478.92,139054.02,1,1C,3,303,Cluster 1,003801 2,003801,Precinct 24,38.9193493388,-77.040602704,,2024/03/16 18:43:00+00,2024/03/16 18:45:00+00,491231867,
-76.9469671468099,38.8933572691211,24040549,2024/03/17 19:32:43+00,EVENING,OTHERS,THEFT/OTHER,300 - 499 BLOCK OF 40TH STREET NE,404600.899906223,136168.377435795,7,7F,6,603,Cluster 32,009603 2,009603,Precinct 102,38.8933494806,-76.9469648801,,2024/03/17 18:49:00+00,2024/03/17 19:27:00+00,491231868,
-77.0124263013226,38.8746640169689,24040261,2024/03/17 04:52:12+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,100 - 299 BLOCK OF N STREET SW,398921.91,134092.02,6,6D,1,105,Cluster 9,006400 1,006400,Precinct 127,38.8746562343,-77.0124240155,,2024/03/17 01:30:00+00,2024/03/18 03:30:00+00,491231870,
-76.9681677430358,38.8620330712808,24040295,2024/03/17 08:00:45+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,2200 - 2226 BLOCK OF TOWN CENTER DRIVE SE,402762.92,132690.3,7,7B,6,606,Cluster 35,007604 3,007604,Precinct 113,38.8620252896,-76.9681654717,,2024/03/17 04:26:00+00,2024/03/17 08:00:00+00,491231871,
-76.936962594818,38.899669800674,24040428,2024/03/17 17:01:50+00,DAY,OTHERS,MOTOR VEHICLE THEFT,4431 - 4599 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,405468.33,136869.67,7,7C,6,602,Cluster 30,007804 1,007804,Precinct 98,38.8996620102,-76.9369603309,,2024/03/17 13:52:00+00,2024/03/17 15:53:00+00,491231872,
-76.9631110568663,38.8795081441599,24038190,2024/03/13 15:56:35+00,DAY,OTHERS,THEFT F/AUTO,700 - 799 BLOCK OF 31ST STREET SE,403201.006016924,134630.327866368,7,7B,6,605,Cluster 34,007709 1,007709,Precinct 132,38.8795003584,-76.9631087859,,2024/03/13 15:40:00+00,2024/03/13 15:42:00+00,491231873,
-76.943408315237,38.9041884506394,24040461,2024/03/17 15:18:44+00,DAY,OTHERS,THEFT F/AUTO,1000 - 1127 BLOCK OF 42ND STREET NE,404908.89,137370.91,7,7D,6,601,Cluster 29,009601 1,009601,Precinct 92,38.9041806595,-76.9434060491,,2024/03/15 22:00:00+00,2024/03/17 00:00:00+00,491231874,
-77.0307953633261,38.9013392947669,24040630,2024/03/17 22:10:56+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF I STREET NW,397328.94,137053.56,2,2C,2,209,Cluster 8,010100 3,010100,Precinct 129,38.9013315074,-77.0307930701,DOWNTOWN,2024/03/17 20:59:00+00,,491231875,
-77.0090510278181,38.9129797179654,24040397,2024/03/17 14:06:35+00,DAY,OTHERS,BURGLARY,1700 - 1723 BLOCK OF NORTH CAPITOL STREET,399215.22,138345.33,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9129719275,-77.0090487407,,2024/03/17 11:32:00+00,2024/03/17 14:06:00+00,491231876,
-76.9143470318902,38.8958173683895,24040788,2024/03/18 03:45:58+00,MIDNIGHT,OTHERS,BURGLARY,6000 - 6099 BLOCK OF EADS STREET NE,407430.500644849,136443.61724405,7,7C,6,608,Cluster 31,007808 2,007808,Precinct 95,38.8958095782,-76.9143447748,,2024/03/18 02:26:00+00,2024/03/18 03:15:00+00,491231877,
-76.9762479717585,38.8840848624943,24035150,2024/03/08 01:12:37+00,EVENING,OTHERS,THEFT F/AUTO,1900 BLOCK OF D STREET SE,402061,135138,7,7F,1,107,Cluster 26,006804 1,006804,Precinct 80,38.8840770766,-76.9762456966,,2024/03/06 13:00:00+00,2024/03/06 16:00:00+00,491231878,
-76.989343004594,38.9059322645244,24040574,2024/03/17 20:17:58+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1100 - 1199 BLOCK OF OATES STREET NE,400924.55,137563.02,5,5D,5,506,Cluster 23,008802 3,008802,Precinct 77,38.9059244747,-76.989340724,,2024/03/16 22:30:00+00,2024/03/17 20:00:00+00,491231879,
-77.0171919882222,38.9005312464722,24040202,2024/03/17 05:42:21+00,MIDNIGHT,OTHERS,THEFT F/AUTO,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,398508.91,136963.55,6,6E,1,101,Cluster 8,005900 1,005900,Precinct 143,38.9005234588,-77.0171896993,DOWNTOWN,2024/03/16 23:15:00+00,2024/03/17 01:41:00+00,491231880,
-77.0327321588336,38.9295246790098,24040611,2024/03/17 21:40:09+00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2024/03/17 20:16:00+00,2024/03/17 21:30:00+00,491231881,
-77.0543408432809,38.9233868289089,24040498,2024/03/17 17:58:12+00,DAY,OTHERS,THEFT/OTHER,2400 - 2798 BLOCK OF CALVERT STREET NW,395288.01,139501.97,3,3C,2,204,Cluster 15,000501 3,000501,Precinct 26,38.923379038,-77.0543385414,,2024/03/16 16:00:00+00,2024/03/16 21:11:00+00,491231882,
-77.0244763588087,38.9085808927203,24040812,2024/03/18 03:33:15+00,MIDNIGHT,OTHERS,THEFT/OTHER,900 - 926 BLOCK OF O STREET NW,397877.28,137857.27,2,2G,3,307,Cluster 7,004901 3,004901,Precinct 129,38.9085731037,-77.0244740671,,2024/03/16 16:20:00+00,2024/03/18 01:30:00+00,491231883,
-76.9939456456567,38.8451154536072,24040424,2024/03/17 14:25:28+00,DAY,GUN,ROBBERY,800 - 899 BLOCK OF MALCOLM X AVENUE SE,400525.78,130811.86,8,8C,7,705,Cluster 39,010400 1,010400,Precinct 123,38.8451076763,-76.9939433673,,2024/03/17 12:46:00+00,2024/03/17 14:25:00+00,491231884,
-76.9902474520241,38.8841112829195,24039900,2024/03/17 09:22:07+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,12TH STREET SE AND D STREET SE,400846.35999874,135140.71001084,6,6B,1,107,Cluster 26,006900 1,006900,Precinct 91,38.8841034977,-76.9902451725,,2024/03/16 13:56:00+00,2024/03/16 15:03:00+00,491231885,
-76.9953138104244,38.8451002463105,24040736,2024/03/18 01:21:00+00,EVENING,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF MALCOLM X AVENUE SE,400407.008926331,130810.164854823,8,8C,7,705,Cluster 39,010400 1,010400,Precinct 123,38.8450924686,-76.9953115314,,2024/03/18 00:55:00+00,,491231886,
-76.9892765346404,38.9002087097665,24040529,2024/03/17 18:44:45+00,DAY,OTHERS,BURGLARY,1200 - 1299 BLOCK OF H STREET NE,400930.39,136927.66,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,38.9002009211,-76.9892742544,,2024/03/17 17:12:00+00,2024/03/17 18:44:00+00,491231887,
-77.0136600192201,38.8954573917659,24018009,2024/02/05 03:34:21+00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,400 - 499 BLOCK OF MITCH SNYDER PLACE NW,398815.2,136400.26,6,6E,1,102,Cluster 8,005900 2,005900,Precinct 1,38.895449605,-77.0136577317,DOWNTOWN,2024/02/05 02:08:00+00,2024/02/05 02:09:00+00,491231907,
-77.0187477457035,38.8764689968069,24007886,2024/01/17 02:22:45+00,EVENING,OTHERS,THEFT F/AUTO,400 - 499 BLOCK OF M STREET SW,398373.41,134292.48,6,6D,1,105,Cluster 9,010201 1,010201,Precinct 142,38.8764612141,-77.0187454578,SOUTHWEST,2024/01/16 18:00:00+00,2024/01/16 19:30:00+00,491231924,
-77.000246709122,38.9079848520117,24021965,2024/02/12 05:51:40+00,MIDNIGHT,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF MORSE STREET NE,399978.8,137790.82,5,5D,,,Cluster 23,008803 2,008803,Precinct 76,38.9079770622,-77.000244425,,2024/02/12 02:47:00+00,2024/02/12 05:00:00+00,491231936,
